query_id,query_len,query_start,query_end,strand,ref_id,ref_len,ref_start,ref_end,match_len,block_len,mapq
CP075372.1,5032348,5,4187597,-,CP028729.1,4754975,38,4038263,3381095,4354667,60,tp:A:P
CP075372.1,5032348,4187639,5032343,-,CP028729.1,4754975,4038273,4754971,609483,851102,60,tp:A:P
CP075372.1,5032348,1318560,1358095,+,CP028729.1,4754975,1330541,1369538,28255,41374,0,tp:A:S
CP075373.1,250232,93146,112270,+,CP029249.1,152940,131427,149075,6433,22932,60,tp:A:P
CP075373.1,250232,72505,93140,-,CP029249.1,152940,61260,74525,4304,20635,60,tp:A:P
CP075373.1,250232,117726,122726,-,CP029249.1,152940,128481,132239,1603,5000,0,tp:A:P
